Date,Address,Rent (HKD),Area (呎),Rate,Price/sq foot,,Average price/sq foot
22/08/2024,置富花園 富逸苑 (H-6座) 低層 A室,"$15,500",439,35,$35.31,TRUE,$41.31
22/08/2024,新港城 3期 R座 低層 6室,"$14,000",337,42,$41.54,TRUE,
22/08/2024,嘉熙 3座 高層 E室,"$22,500",596,38,$37.75,TRUE,
22/08/2024,星鑽 中層 B室,"$30,000",502,60,$59.76,TRUE,
22/08/2024,沙田第一城 1期 8座 低層 D室,"$14,200",327,43,$43.43,TRUE,
22/08/2024,朗怡居 3座 低層 F室,"$12,500",531,24,$23.54,TRUE,
22/08/2024,鑽嶺 低層 D室,"$12,800",211,61,$60.66,TRUE,
22/08/2024,日出康城 2期C 領凱 11座 低層 RC室,"$21,000",727,29,$28.89,TRUE,
22/08/2024,御半山 1期 1A座 中層 D室,"$13,800",399,35,$34.59,TRUE,
22/08/2024,麗寶大廈 低層 H室,"$7,400",239,31,$30.96,TRUE,
22/08/2024,御龍山 8座 高層 A室,"$49,000",1409,35,$34.78,TRUE,
22/08/2024,翔龍灣 5座 中層 F室,"$18,000",427,42,$42.15,TRUE,
22/08/2024,柏傲莊 2期 5座 (5B) 高層 C室,"$27,500",576,48,$47.74,TRUE,
22/08/2024,安康樓 1C室,"$11,800",309,38,$38.19,TRUE,
22/08/2024,明雋 中層 D室,"$13,800",231,60,$59.74,TRUE,
22/08/2024,龍譽 2A座 低層 C室,"$23,500",548,43,$42.88,TRUE,
22/08/2024,Monaco One 1期 2A座 高層 D室,"$17,800",326,55,$54.60,TRUE,
22/08/2024,凱滙 1期 1座 中層 M室,"$26,000",590,44,$44.07,TRUE,
22/08/2024,海茵莊園 2座 高層 C3室,"$12,500",217,58,$57.60,TRUE,
22/08/2024,柏蔚山 1座 中層 F室,"$48,000",906,53,$52.98,TRUE,
22/08/2024,都會駅 2期 城中駅 10座 高層 E室,"$24,500",651,38,$37.63,TRUE,
22/08/2024,日出康城 6期 Lp6 5座 低層 C室,"$17,000",424,40,$40.09,TRUE,
22/08/2024,睿峰 西翼 低層 H室,"$16,000",316,51,$50.63,TRUE,
22/08/2024,新城市廣場 3期 紫藤閣 (2座) 低層 F室,"$26,000",703,37,$36.98,TRUE,
22/08/2024,雲滙 1期 2座 高層 A3室,"$15,000",381,39,$39.37,TRUE,
22/08/2024,河畔花園 E座 低層 6室,"$12,800",269,48,$47.58,TRUE,
22/08/2024,清水灣半島 1期 2座 低層 B室,"$20,000",764,26,$26.18,TRUE,
22/08/2024,Savannah 3B座 中層 B室,"$22,000",478,46,$46.03,TRUE,
22/08/2024,滿名山 滿庭 12座 高層 A室,"$17,000",622,27,$27.33,TRUE,
22/08/2024,日出康城 4期B 晉海ll 3A座 低層 D室,"$18,000",474,38,$37.97,TRUE,
22/08/2024,柏景灣 2期 帝柏海灣 1座 中層 G室,"$22,000",476,46,$46.22,TRUE,
22/08/2024,杏花邨 16座 低層 3室,"$21,300",596,36,$35.74,TRUE,
22/08/2024,雲峰大廈 B座 高層 2室,"$70,000",1650,42,$42.42,TRUE,
22/08/2024,緹岸 1期 1座 高層 D室,"$14,000",437,32,$32.04,TRUE,
22/08/2024,上源 6B座 中層 A室,"$13,600",518,26,$26.25,TRUE,
22/08/2024,瓏門 2期 8座 低層 H室,"$17,000",477,36,$35.64,TRUE,
22/08/2024,匯豪峰 中層 B室,"$26,000",685,38,$37.96,TRUE,
22/08/2024,維基樓 低層 8號,"$43,000",1097,39,$39.20,TRUE,
22/08/2024,利奧坊．壹隅 2座 高層 C室,"$19,600",323,61,$60.68,TRUE,
22/08/2024,香島 3座 低層 E室,"$21,000",484,43,$43.39,TRUE,
22/08/2024,嘉好樓 G室,"$5,200",310,17,$16.77,TRUE,
22/08/2024,瑆華 高層 A室,"$37,500",612,61,$61.27,TRUE,
22/08/2024,凱旋門 朝日閣 (1A座) 高層 D室,"$65,000",925,70,$70.27,TRUE,
22/08/2024,日出康城 2期A 領都 2座 (左翼) 低層 C室,"$20,000",734,27,$27.25,TRUE,
22/08/2024,日出康城 8期 Sea To Sky 2座 低層 D室,"$26,300",712,37,$36.94,TRUE,
22/08/2024,加多利軒 中層 E室,"$17,500",267,66,$65.54,TRUE,
22/08/2024,喇沙利道3號 中層 B室(3A號),"$45,800",1130,41,$40.53,TRUE,
22/08/2024,蔚藍灣畔 6座 高層 B室,"$19,300",488,40,$39.55,TRUE,
22/08/2024,南豐廣場 5座 低層 G室,"$15,500",375,41,$41.33,TRUE,
22/08/2024,Peninsula East 1座 低層 A室,"$26,000",926,28,$28.08,TRUE,
22/08/2024,君傲灣 3座 中層 H室,"$19,000",470,40,$40.43,TRUE,
22/08/2024,華員邨 華智閣 (4座) 低層 C室,"$15,500",531,29,$29.19,TRUE,
22/08/2024,薈晴 2座 中層 B05室,"$12,000",230,52,$52.17,TRUE,
22/08/2024,利奧坊‧曉岸 2座 高層 H室,"$15,300",252,61,$60.71,TRUE,
22/08/2024,嘉湖山莊 1期 樂湖居 14座 中層 E室,"$12,000",448,27,$26.79,TRUE,
22/08/2024,Caine Hill 中層 E室,"$20,000",278,72,$71.94,TRUE,
22/08/2024,海名軒 3座 高層 B室,"$60,000",1580,38,$37.97,TRUE,
22/08/2024,韻濤居 A座 低層 8室,"$14,500",420,35,$34.52,TRUE,
22/08/2024,東堤灣畔 2期 7座 低層 F室,"$17,800",592,30,$30.07,TRUE,
22/08/2024,藍天海岸 3期 影岸‧紅 B座 (8座) 中層 I室,"$18,500",638,29,$29.00,TRUE,
22/08/2024,東環 1期 5A座 低層 6室,"$16,500",483,34,$34.16,TRUE,
22/08/2024,菁雋 高層 17室,"$13,800",377,37,$36.60,TRUE,
22/08/2024,沙田第一城 5期 50座 低層 D室,"$15,200",304,50,$50.00,TRUE,
22/08/2024,沙田第一城 2期 18座 中層 F室,"$18,500",484,38,$38.22,TRUE,
